Algorithm,Dataset,Mean(ms),Median(ms),Max(ms),Min(ms),Std(ms)
bubble_sort,random_numbers_1000,69.30580678787845,69.06658699995205,72.23236600009386,68.97419000006266,0.6479707710937429
bubble_sort,random_numbers_5000,1900.5932617272808,1901.0208019999482,1906.146270000022,1876.6038009999875,4.708963662760501
bubble_sort,random_numbers_10000,7776.303012686866,7779.377264999994,7806.860204000031,7674.507031000076,18.04755195528075
bubble_sort,random_numbers_50000,216204.01313831803,217906.7667440977,220339.86759418622,208664.3978729844,2912.783318682985
bubble_sort,reverse_1000,99.32651390519106,99.23964599147439,101.45731503143907,98.38786302134395,0.5476028081135281
bubble_sort,reverse_5000,2398.8664734243143,2400.28204000555,2410.069764824584,2353.4946320578456,9.701070432029253
bubble_sort,reverse_10000,10688.835374060829,10693.656551884487,10795.60507205315,10472.132071852684,46.84257484657267
bubble_sort,random_numbers_50000,195971.9920811212,196107.70965999836,196311.65154600056,193415.1507449999,538.4087391969368
bubble_sort,reverse_1000,91.421399040561,91.41851800086442,93.31596400079434,90.42993399998522,0.34383914004669863
bubble_sort,reverse_5000,2264.3515181818034,2265.3907339990837,2275.939066999854,2246.208355001727,4.5352275788925205
bubble_sort,reverse_10000,10235.875644939517,10236.92782100261,10278.191261000757,10167.054615001689,20.169805307571327
bubble_sort,reverse_50000,253054.43486688667,252654.87313992344,259566.7067200411,241948.8895230461,4177.394294665338
bubble_sort,Sorted_1000,51.83013693683527,51.86212109401822,52.441917825490236,50.35442509688437,0.33110101876843046
bubble_sort,Sorted_5000,853.0688822819766,853.6632570903748,857.0361689198762,838.4342200588435,2.9717610783570807
bubble_sort,Sorted_10000,5437.148213974492,5402.302372967824,5695.31993707642,5360.243709990755,74.02674918956578
bubble_sort,reverse_50000,232036.50634459598,232085.80897499633,232723.33744500065,230206.13228599905,398.2959034023082
bubble_sort,Sorted_1000,44.98474238378071,44.97226499370299,46.67991099995561,44.42420000123093,0.21431501264087585
bubble_sort,Sorted_5000,803.0679696368146,802.8183220012579,824.8677309966297,793.0605200017453,3.542255369170995
bubble_sort,Sorted_10000,4895.983784313204,4888.1154189948575,4998.769844998606,4871.023707004497,24.51447029439292
bubble_sort,Sorted_50000,84050.20111176476,84116.81136116385,84845.1842830982,82819.94581804611,425.28422775612637
bubble_sort,Sorted_50000,80490.09201953493,80516.00041100028,80676.16281399387,79828.82523499575,145.73833357549933
