Algorithm,Dataset,Mean(ms),Median(ms),Max(ms),Min(ms),Std(ms)
Hybrid_sort_700_run_sorted,half_sorted_1000,1.2603148516982492,1.1575608514249325,2.0272010006010532,1.120357308536768,0.27883252082644816
Hybrid_sort_700_run_sorted,half_sorted_5000,6.662127698273069,6.65923161432147,6.829547230154276,6.52207899838686,0.07110178934657772
Hybrid_sort_700_run_sorted,half_sorted_10000,14.0458702043903,13.996543362736702,14.57378501072526,13.780245091766119,0.16206079296460138
Hybrid_sort_700_run_sorted,half_sorted_50000,80.3372220634812,80.14303306117654,83.81167007610202,79.44856118410826,0.7130396333285093
Hybrid_sort_700_run_sorted,half_sorted_100000,172.07306216122828,170.7857958972454,185.30459608882666,169.0102550201118,3.5518333360993335
Hybrid_sort_700_run_sorted,random_numbers_1000,1.238551630516245,1.2244787067174911,2.2837109863758087,1.1838879436254501,0.10826663682064909
Hybrid_sort_700_run_sorted,random_numbers_5000,7.158657258395293,7.141777779906988,7.368594873696566,7.039455231279135,0.07868117085216372
Hybrid_sort_700_run_sorted,random_numbers_10000,15.154770279133862,15.13370219618082,15.786964911967516,14.910059049725533,0.15109983558240203
Hybrid_sort_700_run_sorted,random_numbers_50000,87.15264160524714,86.83142391964793,92.40252012386918,86.03051025420427,1.0496275323008166
Hybrid_sort_700_run_sorted,random_numbers_100000,185.86894659080892,185.15589134767652,197.78828602284193,182.26907681673765,2.4595929185647223
Hybrid_sort_700_run_sorted,reverse_1000,1.3549020372782692,1.333713997155428,2.858314663171768,1.297537237405777,0.15461582416374822
Hybrid_sort_700_run_sorted,reverse_5000,7.129008124460175,7.127468008548021,7.3379469104111195,6.980680860579014,0.07635213883799657
Hybrid_sort_700_run_sorted,reverse_10000,14.708537721272672,14.662276953458786,15.504710376262665,14.379275031387806,0.20213816765335818
Hybrid_sort_700_run_sorted,reverse_50000,79.28573472350082,79.14554793387651,82.48426113277674,78.34527594968677,0.6708197154642639
Hybrid_sort_700_run_sorted,reverse_100000,163.80278676785906,163.49403001368046,168.62605279311538,161.90767008811235,1.5452224117888955
Hybrid_sort_700_run_sorted,Sorted_1000,0.0411773505009184,0.03618467599153519,0.4900796338915825,0.035400036722421646,0.04536440789163541
Hybrid_sort_700_run_sorted,Sorted_5000,0.1872000237456476,0.18704216927289963,0.1993868499994278,0.17881114035844803,0.00351930468268801
Hybrid_sort_700_run_sorted,Sorted_10000,0.37851322423478573,0.37728575989603996,0.4037921316921711,0.3681252710521221,0.007562933165769249
Hybrid_sort_700_run_sorted,Sorted_50000,1.977765415277746,1.970152836292982,2.068077679723501,1.8766187131404877,0.026593176458780905
Hybrid_sort_700_run_sorted,Sorted_100000,3.9615241312092606,3.9450181648135185,4.194218199700117,3.860419150441885,0.0634461136723978
